NCEI id,County,State,Datetime,WFO,Comment
,Pulaski,IL,2023-01-12T08:01,PAH,LSR report of a tornado touchdown
1074354,Greene,AL,2023-01-12T15:54,BMX,This segment of the tornado should be EF1
1079317,Meriwether,GA,2023-01-12T20:43,FFC,This entry and 1079301 share the same lengths and injury statistics
1079322,Pike,GA,2023-01-12T20:45,FFC,This entry and 1079320 share the same lengths
,Dekalb,GA,2023-01-12T20:51,FFC,LSR report of a tornado on ground
1079333,Pike,GA,2023-01-12T21:10,FFC,"This, 1079334, and 1079335 entries have duplicate lengths"
1079325,Spalding,GA,2023-01-12T21:13,FFC,"This entry, 1079328, and 1079329 have duplicate lengths"
1079346,Warren,GA,2023-01-12T21:15,FFC,Length in this entry includes length of the McDuffie County segment found in 1065372
1079332,Spalding,GA,2023-01-12T21:16,FFC,"This, 1079331, and 1079330 entries have duplicate lengths"
1079336,Pike,GA,2023-01-12T21:17,FFC,Duplicate lengths in this and the Spalding County segment found in 1079337
1079339,Spalding,GA,2023-01-12T21:27,FFC,"This, 1079340, 1079341, and 1079342 all contain the same statistics"
1079344,Butts,GA,2023-01-12T21:49,FFC,Duplicate data found in the Newton County segment 1079345
1075140,Fort Bend,TX,2023-01-24T19:45,HGX,Time is incorrect. Should be 19:38Z-19:53Z
1075135,Brazoria,TX,2023-01-24T20:10,HGX,Time is incorrect. Should be 20:07Z-20:09Z
1075141,Harris,TX,2023-01-24T20:15,HGX,Time is incorrect. Should be 20:15Z-20:40Z
1075131,Liberty,TX,2023-01-24T21:27,HGX,"In wrong location, entry has start lon as -94.9467 but it should be -94.4674"
1077193,Calcasieu,LA,2023-01-24T22:44,LCH,"Width maybe incorrect, original survey is 90 yards"
,St. Landry,LA,2023-02-09T00:45,LCH,Missing EF2 tornado
,Jefferson Davis,MS,2023-02-16T20:25,MEG,Missing EF0 tornado
1081932,Marion,TN,2023-03-02T12:16,MRX,Time is incorrect. It seems the local time listed is actually UTC. 06:16Z aligns well with storm passage
1081935,Hamilton,TN,2023-03-02T11:55,MRX,Time is incorrect. It seems the local time listed is actually UTC. 06:55Z aligns well with storm passage
1087758,Hopkins,TX,2023-03-02T21:20,FWD,Time is incorrect. The correct start time should be 22:20Z. Ending time in the entry may also be incorrect. Original survey has a 22:36Z end time
,Putnam,FL,2023-03-13T07:32,JAX,TDS signature
1091239,Santa Barbara,CA,2023-03-22T00:45,LOX,Track maybe backwards
1086284,Jackson,AL,2023-03-25T06:28,HUN,This segment of the tornado should be EF1
1091655,Laurens,GA,2023-03-25T20:17,FFC,Duplicate of 1091336 with an incorrect ending location
1091666,Meriwether,GA,2023-03-26T10:49,FFC,"Duplicate statistics of the Troup Co segment, 1091665"
1088194,Autauga,AL,2023-03-27T02:39,BMX,"Narrative says this tornado was an EF0. Gives a max wind of 90 MPH making it an EF1, however original survey lists 75 MPH max"
1083273,Champaign,IL,2023-04-01T00:39,ILX,Missing 2 injuries
1093449,Marion,AL,2023-04-01T07:32,BMX,Possible double count of injuries with this and Winston Co segment entry
1091063,Burlington,NJ,2023-04-01T23:08,PHI,Missing track
,Key West,FL,2023-04-11T00:48,KEY,Missing EF0 tornado
,Key West,FL,2023-04-12T11:58,KEY,Missing EF0 tornado
,Crisp,GA,2023-04-13T18:37,FFC,Missing EF1 tornado
,Parmer,TX,2023-04-13T19:59,LUB,"Missing landspout, photographed"
,Bleckley,GA,2023-04-13T20:21,FFC,Missing EF0 tornado
1094927,McClain,OK,2023-04-20T00:30,OUN,Fatalites and injuries may be swapped
1096516,Weld,CO,2023-04-22T20:21,BOU,Wrong date. Should be 2023-04-25
1096517,Weld,CO,2023-04-22T20:30,BOU,Wrong date. Should be 2023-04-25
